shi_en,shi_ar,shi_lat,shi_lon,dis_en,dis_ar,slug,dis_lat,dis_lon,gov_en,gov_ar
Shanshour wa Hessetha,شنشوروحصتها,30.359,30.991,Ashmun,مركز أشمون,ashmun-eg1703,30.299,31.008,Menoufia,المنوفية
Shanfas,شنفاص,30.905,31.381,Aga,مركز أجا,aga-eg1204,30.895,31.313,Dakahlia,الدقهلية
Shanhoura,شنهور,25.855,32.777,Qus,مركز قوص,qus-eg2707,25.857,32.789,Qena,قنا
Shanou,شنو,31.055,30.92,Kafr Al-Shaykh,مركز كفر الشيخ,kafr-al-shaykh-eg1502,31.2,31.016,Kafr El-Shikh,كفر الشيخ
Shanwan,شنوان,30.506,31.009,Shibin al-Kum,مركز شبين الكوم,shibin-al-kum-eg1702,30.561,30.954,Menoufia,المنوفية
Shanwayo wa Kafr El-Badrana,شنوايوكفر البدرانة,30.31,31.099,Ashmun,مركز أشمون,ashmun-eg1703,30.299,31.008,Menoufia,المنوفية
Shanoufa,شنوفة,30.516,30.98,Shibin al-Kum,مركز شبين الكوم,shibin-al-kum-eg1702,30.561,30.954,Menoufia,المنوفية
Shanisa,شنيسة,30.907,31.31,Aga,مركز أجا,aga-eg1204,30.895,31.313,Dakahlia,الدقهلية
Shanit El-Harabwa,شنيط الحرابوة,30.786,31.623,Kafr Saqr,مركز كفر صقر,kafr-saqr-eg1313,30.837,31.675,Sharkia,الشرقية
Shaha,شها,31.091,31.48,El Mansora,مركز المنصورة,el-mansora-eg1203,31.053,31.467,Dakahlia,الدقهلية
Shuhadaa Bahr El-Baqar 2,شهداء بحر البقر 2,30.918,32.149,Al-Husayniya,مركز الحسينية,al-husayniya-eg1306,30.924,32.006,Sharkia,الشرقية
Shuhadaa Bahr El-Baqar 3,شهداء بحر البقر 3,30.895,32.125,Al-Husayniya,مركز الحسينية,al-husayniya-eg1306,30.924,32.006,Sharkia,الشرقية
Shuhadaa Bahr El-Baqar 4,شهداء بحر البقر 4,30.853,32.161,Al-Husayniya,مركز الحسينية,al-husayniya-eg1306,30.924,32.006,Sharkia,الشرقية
Shuhadaa Bahr El-Baqar 5,شهداء بحر البقر 5,30.887,32.16,Al-Husayniya,مركز الحسينية,al-husayniya-eg1306,30.924,32.006,Sharkia,الشرقية
Shoubar,شوبر,30.845,30.961,Tanta,مركز طنطا,tanta-eg1603,30.809,30.932,Gharbia,الغربية
Shoubak Akrash,شوبكأكراش,30.737,31.506,Dyarb Nigm,مركز ديرب نجم,dyarb-nigm-eg1310,30.752,31.444,Sharkia,الشرقية
Shoubak Basta,شوبكبسطة,30.576,31.534,Zaqaziq,مركز الزقازيق,zaqaziq-eg1303,30.587,31.581,Sharkia,الشرقية
Shoushay wa Kafr Ata,شوشايوكفرعطا,30.33,31.001,Ashmun,مركز أشمون,ashmun-eg1703,30.299,31.008,Menoufia,المنوفية
Shousha,شوشة,28.308,30.638,Markz Samalut,مركز سمالوط,markz-samalut-eg2408,28.285,30.629,Menia,المنيا
Shouna,شونى,30.75,30.926,Tanta,مركز طنطا,tanta-eg1603,30.809,30.932,Gharbia,الغربية
Shiakhet 6 October,شياخة 6 أكتوبر,30.095,31.219,Imbaba,قسم امبابه,imbaba-eg2101,30.083,31.21,Giza,الجيزة
Shiakhet El-Ibrahimia Qebli wal Hadra Bahari,شياخة الابراهيمية قبلى والحضرة بحرى,31.208,29.93,Bab Sharqi,قسم باب شرقى,bab-sharqi-eg0204,31.205,29.921,Alexandria,الاسكندرية
Shiakhet El-Ibrahimia Bahari wa Sidi Gaber,شياخة الابراهيميةبحريوسيديجابر,31.216,29.926,Bab Sharqi,قسم باب شرقى,bab-sharqi-eg0204,31.205,29.921,Alexandria,الاسكندرية
Shiakhet El-Azarito wal Shatby,شياخة الأزاريتووالشاطبي,31.208,29.917,Bab Sharqi,قسم باب شرقى,bab-sharqi-eg0204,31.205,29.921,Alexandria,الاسكندرية
Shiakhet El-Oula,شياخة الاولى,27.178,31.164,Kesm Awal Assuit,قسم أول أسيوط,kesm-awal-assuit-eg2501,27.186,31.154,Assiut,أسيوط
Shiakhet El-Baysari,شياخة البيسرى,27.189,31.142,Kesm Awal Assuit,قسم أول أسيوط,kesm-awal-assuit-eg2501,27.186,31.154,Assiut,أسيوط
Shiakhet El-Thaletha,شياخة الثالثة,27.175,31.169,Kesm Awal Assuit,قسم أول أسيوط,kesm-awal-assuit-eg2501,27.186,31.154,Assiut,أسيوط
Shiakhet El-Hadra Qebli,شياخة الحضرةقبلي,31.202,29.934,Bab Sharqi,قسم باب شرقى,bab-sharqi-eg0204,31.205,29.921,Alexandria,الاسكندرية
Shiakhet El-Hamraa El-Oula,شياخة الحمراء الأولى,27.183,31.186,Kesm Than Assuit,قسم ثان أسيوط,kesm-than-assuit-eg2502,27.193,31.179,Assiut,أسيوط
Shiakhet El-Hamraa El-Thania,شياخة الحمراء الثانية,27.178,31.193,Kesm Than Assuit,قسم ثان أسيوط,kesm-than-assuit-eg2502,27.193,31.179,Assiut,أسيوط
Shiakhet El-Hay El-Awal wal Hadiqa El-Markazia,شياخة الحى الاول والحديقة المركزية,30.141,31.712,Badr,قسم بدر,badr-eg0141,30.136,31.706,Cairo,القاهرة
Shiakhet El-Hay El-Thaleth wal Mantaqa El-Tarfeheya,شياخة الحى الثالث والمنطقة الترفيهية,30.134,31.684,Badr,قسم بدر,badr-eg0141,30.136,31.706,Cairo,القاهرة
Shiakhet El-Hay El-Thani wa Mantaqat El-Emtedad El-Mustaqbali,شياخة الحى الثانى ومنطقة الامتداد المستقبلى,30.166,31.698,Badr,قسم بدر,badr-eg0141,30.136,31.706,Cairo,القاهرة
Shiakhet El-Hay El-Rabea,شياخة الحى الرابع,30.163,31.671,Badr,قسم بدر,badr-eg0141,30.136,31.706,Cairo,القاهرة
Shiakhet El-Hay El-Motamayez,شياخة الحى المتميز,30.123,31.71,Badr,قسم بدر,badr-eg0141,30.136,31.706,Cairo,القاهرة
Shiakhet El-Khamisa,شياخة الخامسة,27.184,31.159,Kesm Awal Assuit,قسم أول أسيوط,kesm-awal-assuit-eg2501,27.186,31.154,Assiut,أسيوط
Shiakhet El-Rabea,شياخة الرابعة,27.178,31.169,Kesm Awal Assuit,قسم أول أسيوط,kesm-awal-assuit-eg2501,27.186,31.154,Assiut,أسيوط
Shiakhet El-Sabea,شياخة السابعة,27.19,31.181,Kesm Than Assuit,قسم ثان أسيوط,kesm-than-assuit-eg2502,27.193,31.179,Assiut,أسيوط
Shiakhet El-Sadsa,شياخة السادسة,27.178,31.177,Kesm Awal Assuit,قسم أول أسيوط,kesm-awal-assuit-eg2501,27.186,31.154,Assiut,أسيوط
Shiakhet El-Sherkat,شياخة الشركات,27.189,31.167,Kesm Awal Assuit,قسم أول أسيوط,kesm-awal-assuit-eg2501,27.186,31.154,Assiut,أسيوط
Shiakhet El-Shorouk 1,شياخة الشروق 1,30.136,31.587,Shroq,قسم الشروق,shroq-eg0140,30.133,31.547,Cairo,القاهرة
Shiakhet El-Shorouk 2,شياخة الشروق 2,30.137,31.627,Shroq,قسم الشروق,shroq-eg0140,30.133,31.547,Cairo,القاهرة
Shiakhet El-Madabigh wa Gabbanat El-Muslimeen,شياخة المدابغ وجبانة المسلمين,27.167,31.156,Kesm Awal Assuit,قسم أول أسيوط,kesm-awal-assuit-eg2501,27.186,31.154,Assiut,أسيوط
Shiakhet El-Mantaqa El-Senaeya Sharq Tareeq El-Robiky,شياخة المنطقة الصناعية شرق طريق الروبيكى,30.137,31.745,Badr,قسم بدر,badr-eg0141,30.136,31.706,Cairo,القاهرة
Shiakhet El-Mantaqa El-Senaeya wa Mantaqat El-Emtedad El-Mustaqbali,شياخة المنطقة الصناعية ومنطقة الامتداد المستقبلى,30.159,31.729,Badr,قسم بدر,badr-eg0141,30.136,31.706,Cairo,القاهرة
Shiakhet El-Walideya El-Bahareya,شياخة الوليدية البحرية,27.209,31.161,Kesm Than Assuit,قسم ثان أسيوط,kesm-than-assuit-eg2502,27.193,31.179,Assiut,أسيوط
Shiakhet El-Walideya El-Qebliya,شياخة الوليدية القبلية,27.2,31.176,Kesm Than Assuit,قسم ثان أسيوط,kesm-than-assuit-eg2502,27.193,31.179,Assiut,أسيوط
Shiakhet El-Walideya El-Wastaneya,شياخة الوليدية الوسطانية,27.204,31.167,Kesm Than Assuit,قسم ثان أسيوط,kesm-than-assuit-eg2502,27.193,31.179,Assiut,أسيوط
Shiakhet Bab Sharqi wa Wabor El-Miah,شياخة بابشرقيووابورالمياه,31.201,29.917,Bab Sharqi,قسم باب شرقى,bab-sharqi-eg0204,31.205,29.921,Alexandria,الاسكندرية
Shiakhet Badr 1,شياخة بدر 1,30.153,31.652,Badr,قسم بدر,badr-eg0141,30.136,31.706,Cairo,القاهرة
Shiakhet Thania,شياخة ثانية,27.17,31.17,Kesm Awal Assuit,قسم أول أسيوط,kesm-awal-assuit-eg2501,27.186,31.154,Assiut,أسيوط
Shiakhet Khamis wa Tashmal El-Ganayen wa Mukawwanateha,شياخة خامس وتشمل الجناين ومكوناتها,30.063,32.703,Al-Ganayin,قسم الجناين,al-ganayin-eg0405,30.063,32.703,Suez,السويس
Shiakhet Ezbet El-Gamaa,شياخة عزبةالجامع,31.196,29.942,Bab Sharqi,قسم باب شرقى,bab-sharqi-eg0204,31.205,29.921,Alexandria,الاسكندرية
Shiakhet Madinet El-Dobat,شياخة مدينة الضباط,30.129,31.509,Shroq,قسم الشروق,shroq-eg0140,30.133,31.547,Cairo,القاهرة
Shiakhet Qesm Awal,شياخه قسم اول,31.404,31.807,Dumyat 1,قسم أول دمياط,dumyat-1-eg1101,31.407,31.807,Damietta,دمياط
Shiakhet Qesm Thaleth,شياخه قسم ثالث,31.425,31.825,Dumyat 2,قسم ثان دمياط,dumyat-2-eg1109,31.425,31.819,Damietta,دمياط
Shiakhet Qesm Than,شياخه قسم ثان,31.415,31.819,Dumyat 1,قسم أول دمياط,dumyat-1-eg1101,31.407,31.807,Damietta,دمياط
Shiakhet Qesm Rabea,شياخه قسم رابع,31.429,31.811,Dumyat 2,قسم ثان دمياط,dumyat-2-eg1109,31.425,31.819,Damietta,دمياط
Shibana,شيبانة,31.014,34.296,Rafah,قسم رفح,rafah-eg3409,31.087,34.227,North Sinai,شمال سيناء
Shiba El-Nakkareya,شيبة النكارية,30.604,31.484,Zaqaziq,مركز الزقازيق,zaqaziq-eg1303,30.587,31.581,Sharkia,الشرقية
Sheraton El-Matar,شيراتون المطار,30.11,31.404,Nuzha,قسم النزهة,nuzha-eg0129,30.115,31.389,Cairo,القاهرة
Shital Hawi,شيط الهوي,30.859,31.727,Kafr Saqr,مركز كفر صقر,kafr-saqr-eg1313,30.837,31.675,Sharkia,الشرقية
Shiwa El-Sharqeya,شيوة الشرقية,30.859,31.288,Aga,مركز أجا,aga-eg1204,30.895,31.313,Dakahlia,الدقهلية
Shiwa El-Gharbeya,شيوة الغربية,30.864,31.274,Aga,مركز أجا,aga-eg1204,30.895,31.313,Dakahlia,الدقهلية
Sa El-Hagar,صا الحجر,30.974,30.769,Basyun,مركز بسيون,basyun-eg1608,30.959,30.827,Gharbia,الغربية
Safour,صافور,30.796,31.423,Dyarb Nigm,مركز ديرب نجم,dyarb-nigm-eg1310,30.752,31.444,Sharkia,الشرقية
Safeya,صافية,30.861,30.69,Itay Al-Barud,مركز إيتاى البارود,itay-al-barud-eg1807,30.886,30.656,Behera,البحيرة
Saleh,ص الح,28.728,30.877,Al Fashn,مركز الفشن,al-fashn-eg2204,28.809,30.827,Beni Suef,بنى سويف
Saleh,ص الح,26.536,31.697,Suhag,قسم اول سوهاج,suhag-eg2601,26.547,31.693,Suhag,سوهاج
San El-Hagar El-Bahareya,صان الحجر البحرية,31.001,32.096,Al-Husayniya,مركز الحسينية,al-husayniya-eg1306,30.924,32.006,Sharkia,الشرقية
San El-Hagar El-Qebliya,صان الحجر القبلية,31.016,31.954,Al-Husayniya,مركز الحسينية,al-husayniya-eg1306,30.924,32.006,Sharkia,الشرقية
Sobhy Hussein,صبحى حسين,29.998,31.336,Al Khalifa,قسم الخليفة,al-khalifa-eg0108,30.01,31.296,Cairo,القاهرة
Sabry,صبري,30.793,30.979,Tanta 2,قسم ثان طنطا,tanta-2-eg1602,30.786,30.989,Gharbia,الغربية
Sabih,صبيح,30.648,31.59,Hihya,مركز ههيا,hihya-eg1315,30.652,31.617,Sharkia,الشرقية
Sahari City,صحاريسيتي,23.972,32.831,Aswan,مركز أسوان,aswan-eg2802,23.972,32.831,Aswan,أسوان
Sahraa El-Dabaa,صحراء الضبعة,30.76,27.977,Daba,مركز الضبعة,daba-eg3304,29.463,28.243,Matrouh,مطروح
Sedqa,صدقا,30.933,31.671,Tamy Al-Amdid,مركز تمى الأمديد,tamy-al-amdid-eg1216,30.947,31.594,Dakahlia,الدقهلية
Sarawa,صراوة,30.258,31.097,Ashmun,مركز أشمون,ashmun-eg1703,30.299,31.008,Menoufia,المنوفية
Sard,صرد,30.974,30.899,Qutur,مركز قطور,qutur-eg1611,30.971,30.97,Gharbia,الغربية
Sarwa,صروة,31.043,30.844,Qillin,مركز قلين,qillin-eg1509,31.085,30.817,Kafr El-Shikh,كفر الشيخ
Safaneya,صفانية,28.74,30.801,Markz Al Idwa,مركز العدوة,markz-al-idwa-eg2405,28.696,30.74,Menia,المنيا
Safar Basha,صفرباشا,31.202,29.881,Al Gumruk,قسم الجمرك,al-gumruk-eg0210,31.203,29.879,Alexandria,الاسكندرية
Saft El-Khammar El-Asleya,صفط الخمار الأصليه,28.029,30.692,Markz Al Minya,مركز المنيا,markz-al-minya-eg2402,28.101,30.641,Menia,المنيا
Saft Abu Gorg,صفطأبوجرج,28.54,30.771,Markz Bani Mazar,مركز بنى مزار,markz-bani-mazar-eg2406,28.518,30.731,Menia,المنيا
Saft El-Horreya,صفط الحرية,30.939,30.57,Itay Al-Barud,مركز إيتاى البارود,itay-al-barud-eg1807,30.886,30.656,Behera,البحيرة
Saft El-Hanna wa Kofourha,صفط الحناوكفورها,30.556,31.612,Abu Hammad,مركز أبو حماد,abu-hammad-eg1304,30.543,31.649,Sharkia,الشرقية
Saft El-Kharsa,صفط الخرسة,28.836,30.825,Al Fashn,مركز الفشن,al-fashn-eg2204,28.809,30.827,Beni Suef,بنى سويف
Saft El-Khammar El-Sharqeya,صفط الخمار الشرقية,28.057,30.701,Markz Al Minya,مركز المنيا,markz-al-minya-eg2402,28.101,30.641,Menia,المنيا
Saft El-Khammar El-Gharbeya,صفط الخمار الغربية,28.045,30.661,Markz Al Minya,مركز المنيا,markz-al-minya-eg2402,28.101,30.641,Menia,المنيا
Saft El-Sharqeya,صفط الشرقية,29.38,31.191,Al Wasta,مركز الواسطى,al-wasta-eg2205,29.324,31.17,Beni Suef,بنى سويف
Saft El-Arfa,صفط العرفا,28.825,30.853,Al Fashn,مركز الفشن,al-fashn-eg2204,28.809,30.827,Beni Suef,بنى سويف
Saft El-Enab,صفط العنب,30.811,30.686,Kum Hamada,مركز كوم حمادة,kum-hamada-eg1813,30.654,30.774,Behera,البحيرة
Saft El-Gharbeya,صفط الغربية,29.395,31.183,Al Wasta,مركز الواسطى,al-wasta-eg2205,29.324,31.17,Beni Suef,بنى سويف
Saft El-Laban,صفط اللبن,30.028,31.162,Kardasa,مركز كرداسة,kardasa-eg2120,30.051,31.134,Giza,الجيزة
Saft El-Laban,صفط اللبن,28.2,30.713,Markz Al Minya,مركز المنيا,markz-al-minya-eg2402,28.101,30.641,Menia,المنيا
Saft El-Nour,صفط النور,28.806,30.858,Al Fashn,مركز الفشن,al-fashn-eg2204,28.809,30.827,Beni Suef,بنى سويف
Saft Tarab,صفطتراب,30.899,31.14,El Mahalla El Kobra,مركز المحله الكبرى,el-mahalla-el-kobra-eg1607,31.017,31.13,Gharbia,الغربية
Saft Gedaam,صفطجدام,30.685,30.871,Tala,مركز تلا,tala-eg1707,30.67,30.946,Menoufia,المنوفية
Saft Khaled,صفط خالد,30.943,30.655,Itay Al-Barud,مركز إيتاى البارود,itay-al-barud-eg1807,30.886,30.656,Behera,البحيرة
Saft Rashin,صفطراشين,28.981,30.931,Biba,مركز ببا,biba-eg2207,28.951,30.967,Beni Suef,بنى سويف
Saft Zoreiq,صفطزريق,30.735,31.466,Dyarb Nigm,مركز ديرب نجم,dyarb-nigm-eg1310,30.752,31.444,Sharkia,الشرقية
Safi El-Din,صفى الدين,30.055,31.252,Muski,قسم الموسكي,muski-eg0110,30.05,31.252,Cairo,القاهرة
Safita,صفيطة,30.517,31.48,Zaqaziq,مركز الزقازيق,zaqaziq-eg1303,30.587,31.581,Sharkia,الشرقية
Saqqara,صقارة,29.845,31.224,Badrashain,مركز البدرشين,badrashain-eg2110,29.824,31.258,Giza,الجيزة
Salah El-Din,صلاح الدين,30.57,30.709,Badr,مركز بدر,badr-eg1818,30.547,30.679,Behera,البحيرة
Sanadid,صناديد,30.721,30.993,Tanta,مركز طنطا,tanta-eg1603,30.809,30.932,Gharbia,الغربية
Sanafeer,صنافير,30.219,31.172,Qalyub,مركز قليوب,qalyub-eg1410,30.207,31.214,Kalyoubia,القليوبية
Sanbou,صنبو,27.478,30.789,Dayrut,مركز ديروط,dayrut-eg2510,27.537,30.782,Assiut,أسيوط
Sandafa,صندفا,28.528,30.676,Markz Bani Mazar,مركز بنى مزار,markz-bani-mazar-eg2406,28.518,30.731,Menia,المنيا
Sandala,صندلا,31.162,30.824,Kafr Al-Shaykh,مركز كفر الشيخ,kafr-al-shaykh-eg1502,31.2,31.016,Kafr El-Shikh,كفر الشيخ
Sansaft,صنصفط,30.441,30.859,Minuf,مركز منوف,minuf-eg1709,30.46,30.881,Menoufia,المنوفية
Sanaa,صنعاء,24.013,30.629,Al-Kharga Oasis,مركز الواحات الخارجة,al-kharga-oasis-eg3201,24.964,31.013,New Valley,الوادى الجديد
Saneem,صنيم,27.961,30.719,Markz Abu Qurqas,مركز ابو قرقاص,markz-abu-qurqas-eg2404,27.939,30.77,Menia,المنيا
Sahbara,صهبرة,30.763,31.415,Dyarb Nigm,مركز ديرب نجم,dyarb-nigm-eg1310,30.752,31.444,Sharkia,الشرقية
Sahregt El-Soghra wa Kafr El-Sayed,صهرجت الصغريوكفر السيد,30.81,31.295,Aga,مركز أجا,aga-eg1204,30.895,31.313,Dakahlia,الدقهلية
Sahregt El-Kobra wa Kafr Gorgi Youssef,صهرجت الكبريوكفرجرجسيوسف,30.644,31.298,Mit Ghamr,مركز ميت غمر,mit-ghamr-eg1213,30.708,31.338,Dakahlia,الدقهلية
Soul,صول,29.359,31.249,Atfeh,مركز أطفيح,atfeh-eg2115,29.343,31.25,Giza,الجيزة
Sayda,صيدة,30.148,31.151,Auseem,مركز أوسيم,auseem-eg2116,30.132,31.142,Giza,الجيزة
Sira,صيرة,31.14,30.206,Kafr Al-Dawwar,مركز كفر الدوار,kafr-al-dawwar-eg1812,31.129,30.038,Behera,البحيرة
Tabiet Saleh,طابيةص الح,31.176,29.876,Mina Al-Basal,قسم مينا البصل,mina-al-basal-eg0211,31.167,29.88,Alexandria,الاسكندرية
Tarout,طاروط,30.541,31.467,Zaqaziq,مركز الزقازيق,zaqaziq-eg1303,30.587,31.581,Sharkia,الشرقية
Tamous,طاموس,31.036,30.472,Damanhur,قسم دمنهور,damanhur-eg1801,31.049,30.463,Behera,البحيرة
Tabl Amoun,طبل أمون,28.183,28.678,Bahariya Oasis,قسم الواحاتالبحرية,bahariya-oasis-eg2114,28.452,28.836,Giza,الجيزة
Tabloha,طبلوها,30.657,30.962,Tala,مركز تلا,tala-eg1707,30.67,30.946,Menoufia,المنوفية
Tabhar,طبهار,29.311,30.684,Abshaway,مركز أبشواى,abshaway-eg2303,29.374,30.69,Fayoum,الفيوم
Taha Hussein,طة حسين,30.787,30.218,Abu-l-Matamir,مركز ابوالمطامير,abu-l-matamir-eg1803,30.773,30.144,Behera,البحيرة
Taha El-Aameda,طحا الأعمدة,28.19,30.689,Markz Samalut,مركز سمالوط,markz-samalut-eg2408,28.285,30.629,Menia,المنيا
Taha El-Marg,طحا المرج,30.778,31.383,Dyarb Nigm,مركز ديرب نجم,dyarb-nigm-eg1310,30.752,31.444,Sharkia,الشرقية
Taha El-Bisha,طح البيشة,28.956,30.987,Biba,مركز ببا,biba-eg2207,28.951,30.967,Beni Suef,بنى سويف
Taha Boush,طحابوش,29.142,31.077,Nasir,مركز ناصر,nasir-eg2209,29.187,31.078,Beni Suef,بنى سويف
Tahanoub,طحانوب,30.285,31.295,Shibin al-Qanatir,مركز شبين القناطر,shibin-al-qanatir-eg1405,30.296,31.307,Kalyoubia,القليوبية
Tahawi,طحاوي,29.412,30.724,Abshaway,مركز أبشواى,abshaway-eg2303,29.374,30.69,Fayoum,الفيوم
Tahla,طحلة,30.417,31.152,Banha,مركز بنها,banha-eg1402,30.443,31.248,Kalyoubia,القليوبية
Tahla Bardeen,طحلةبردين,30.525,31.506,Zaqaziq,مركز الزقازيق,zaqaziq-eg1303,30.587,31.581,Sharkia,الشرقية
Tahoureya,طحورية,30.36,31.335,Shibin al-Qanatir,مركز شبين القناطر,shibin-al-qanatir-eg1405,30.296,31.307,Kalyoubia,القليوبية
Tarabenba,طرابنبا,30.99,30.552,Damanhur,مركز دمنهور,damanhur-eg1802,31.032,30.527,Behera,البحيرة
Taranees El-Bahr,طرانيس البحر,31.154,31.52,El Mansora,مركز المنصورة,el-mansora-eg1203,31.053,31.467,Dakahlia,الدقهلية
Taranees El-Arab,طرانيس العرب,30.873,31.521,Sinbillawin,مركز السنبلاوين,sinbillawin-eg1205,30.883,31.513,Dakahlia,الدقهلية
Tora El-Asmant,طرة الأسمنت,29.923,31.29,Tura,قسم طره,tura-eg0105,29.939,31.38,Cairo,القاهرة
Tarshoub,طرشوب,28.952,30.944,Biba,مركز ببا,biba-eg2207,28.951,30.967,Beni Suef,بنى سويف
Tarfa,طرفا,28.381,30.606,Markz Samalut,مركز سمالوط,markz-samalut-eg2408,28.285,30.629,Menia,المنيا
Tora El-Balad,طره البلد,29.947,31.272,Tura,قسم طره,tura-eg0105,29.939,31.38,Cairo,القاهرة
Tora El-Heit,طره الحيط,29.937,31.283,Tura,قسم طره,tura-eg0105,29.939,31.38,Cairo,القاهرة
Tareena,طرينة,31.081,31.114,El Mahalla El Kobra,مركز المحله الكبرى,el-mahalla-el-kobra-eg1607,31.017,31.13,Gharbia,الغربية
Tasfa,طصفا,30.574,31.283,Kafr Shukr,مركز كفر شكر,kafr-shukr-eg1411,30.554,31.275,Kalyoubia,القليوبية
Toama,طعمة,26.967,31.425,Al- Badari,مركز البدارى,al-badari-eg2506,26.946,31.456,Assiut,أسيوط
Tafnees,طفنيس,25.435,32.514,Isna,مركز إسنا,isna-eg2705,25.365,32.52,Qena,قنا
Tala,طلا,28.881,30.855,Al Fashn,مركز الفشن,al-fashn-eg2204,28.809,30.827,Beni Suef,بنى سويف
Talaat Dargham,طلعت درغام,26.86,28.21,Al Farafra Oasis,مركز الفرافرة,al-farafra-oasis-eg3203,27.205,26.76,New Valley,الوادى الجديد
Tolombat El-Tabia,طلمبات الطابية,31.271,30.067,Muntazah,قسم المنتزة,muntazah-eg0201,31.264,30.03,Alexandria,الاسكندرية
Tolombat Beni Obeid,طلمباتبنيعبيد,31.045,31.747,Bany Abeed,مركز بنى عبيد,bany-abeed-eg1218,31.024,31.648,Dakahlia,الدقهلية
Tolombat Halaq El-Gammal,طلمباتحلق الجمل,31.08,30.386,Abu Hummus,مركز ابوحمص,abu-hummus-eg1804,31.106,30.31,Behera,البحيرة
Tolombat Ain Shams,طلمباتعينشمس,30.133,31.347,Ain Shams,قسم عينشمس,ain-shams-eg0130,30.123,31.33,Cairo,القاهرة
Talya wa Ezbet Ashmoun,طلياوعزبةأشمون,30.255,30.979,Ashmun,مركز أشمون,ashmun-eg1703,30.299,31.008,Menoufia,المنوفية
Talima,طليمة,31.037,31.274,Samannud,مركز سمنود,samannud-eg1610,30.95,31.221,Gharbia,الغربية
Tama Fayoum,طمافيوم,29.164,30.938,Ahnasya,مركز أهناسيا,ahnasya-eg2206,29.102,30.943,Beni Suef,بنى سويف
Tamay El-Zahayra,طماي الزهايرة,30.902,31.472,Sinbillawin,مركز السنبلاوين,sinbillawin-eg1205,30.883,31.513,Dakahlia,الدقهلية
Tamlay,طملاي,30.502,30.851,Minuf,مركز منوف,minuf-eg1709,30.46,30.881,Menoufia,المنوفية
Tamouh,طموه,29.94,31.267,Giza,مركز الجيزة,giza-eg2109,29.943,31.213,Giza,الجيزة
Tanah,طناح,31.046,31.558,El Mansora,مركز المنصورة,el-mansora-eg1203,31.053,31.467,Dakahlia,الدقهلية
Tanash wa Nazlet El-Zomor,طناشونزلة الزمر,30.12,31.203,Waraq,قسم الوراق,waraq-eg2117,30.097,31.189,Giza,الجيزة
Tanamel El-Sharqi wa Ezbet El-Atraba,طنامل الشرقيوعزبة الأتربة,30.833,31.285,Aga,مركز أجا,aga-eg1204,30.895,31.313,Dakahlia,الدقهلية
Tanamel El-Gharbi,طنامل الغربي,30.833,31.264,Aga,مركز أجا,aga-eg1204,30.895,31.313,Dakahlia,الدقهلية
Tanan,طنان,30.24,31.249,Qalyub,مركز قليوب,qalyub-eg1410,30.207,31.214,Kalyoubia,القليوبية
Tanbara,طنبارة,30.915,31.436,Sinbillawin,مركز السنبلاوين,sinbillawin-eg1205,30.883,31.513,Dakahlia,الدقهلية
Tanbara,طنبارة,31.129,31.133,El Mahalla El Kobra,مركز المحله الكبرى,el-mahalla-el-kobra-eg1607,31.017,31.13,Gharbia,الغربية
Tanbadi,طنبدي,30.587,30.985,Shibin al-Kum,مركز شبين الكوم,shibin-al-kum-eg1702,30.561,30.954,Menoufia,المنوفية
Tanbadi,طنبدي,28.638,30.784,Markz Maghagha,مركز مغاغة,markz-maghagha-eg2410,28.641,30.794,Menia,المنيا
Tanbasha,طنبشا,30.604,31.095,Birkat Al-Sab,مركز بركة السبع,birkat-al-sab-eg1706,30.651,31.108,Menoufia,المنوفية
Tanbou,طنبو,28.502,30.769,Markz Bani Mazar,مركز بنى مزار,markz-bani-mazar-eg2406,28.518,30.731,Menia,المنيا
Tanboul El-Kobra,طنبول الكبري,30.868,31.414,Sinbillawin,مركز السنبلاوين,sinbillawin-eg1205,30.883,31.513,Dakahlia,الدقهلية
Tanbouha,طنبوها,31.15,31.339,Nebro,مركز نبروة,nebro-eg1221,31.129,31.297,Dakahlia,الدقهلية
Tansa El-Malaq,طنسا الملق,29.213,31.115,Nasir,مركز ناصر,nasir-eg2209,29.187,31.078,Beni Suef,بنى سويف
Tansa Beni Malo,طنسابنيم الو,29.0,31.017,Biba,مركز ببا,biba-eg2207,28.951,30.967,Beni Suef,بنى سويف
Tanta El-Gezira,طنط الجزيرة,30.358,31.088,Tukh,مركز طوخ,tukh-eg1408,30.344,31.19,Kalyoubia,القليوبية
Tanta Khareg El-Kourdon,طنطا خارج الكوردون,30.8,30.99,Tanta 2,قسم ثان طنطا,tanta-2-eg1602,30.786,30.989,Gharbia,الغربية
Tanoub,طنوب,30.704,30.809,Tala,مركز تلا,tala-eg1707,30.67,30.946,Menoufia,المنوفية
Taneeng,طنينج,31.068,31.282,Nebro,مركز نبروة,nebro-eg1221,31.129,31.297,Dakahlia,الدقهلية
Taha Shubra,طهشبرا,30.534,31.098,Quwisna,مركز قويسنا,quwisna-eg1708,30.56,31.163,Menoufia,المنوفية
Tohra Hamid,طهرةحميد,30.533,31.57,Zaqaziq,مركز الزقازيق,zaqaziq-eg1303,30.587,31.581,Sharkia,الشرقية
Tohma,طهما,29.626,31.238,Ayat,مركز العياط,ayat-eg2112,29.564,31.25,Giza,الجيزة
