neighborhood_en,neighborhood_ar,lat,lon,district_id,district_en,district_ar,governorate_en,governorate_ar
Abd al-Magid al-Gafil,عبد المجيد الجفيل,26.87,27.848,al-farafra-oasis-eg3203,Al Farafra Oasis,مركز الفرافرة,New Valley,الوادى الجديد
Abd al-Na'im,عبد النعيم,30.075,31.208,imbaba-eg2101,Imbaba,قسم امبابه,Giza,الجيزة
Abd al-Magid Morsi,عبد المجيدمرسي,30.586,30.735,badr-eg1818,Badr,مركز بدر,Behera,البحيرة
Abd al-Halim,عبد الحليم,30.436,29.908,nubariyya-west-eg1817,Nubariyya West,قسم غرب النوبارية,Behera,البحيرة
Abd al-Hay Shalaby,عبدالحي شلبي,30.963,31.177,el-mahalla-el-kobra-1-eg1605,El Mahalla El Kobra 1,قسم أول المحلة الكبرى,Gharbia,الغربية
Abd al-Raqib,عبد الرقيب,30.79,30.061,abu-l-matamir-eg1803,Abu-l-Matamir,مركز ابوالمطامير,Behera,البحيرة
Abd al-Salam Aref,عبدالسلام عارف,30.577,30.641,badr-eg1818,Badr,مركز بدر,Behera,البحيرة
Abd al-Magid Saleh,عبدالمجيد صالح,30.712,30.58,al-dilingat-eg1805,Al-Dilingat,مركز الدلنجات,Behera,البحيرة
Abn Umm al-Saghir,عبن أم الصغير,25.813,29.168,a-dakhla-oasis-eg3202,A-Dakhla Oasis,مركز الوحات الداخلة,New Valley,الوادى الجديد
Othman ibn Affan,عثمان بن عفان,30.621,30.656,badr-eg1818,Badr,مركز بدر,Behera,البحيرة
Othman ibn Affan,عثمان بن عفان,26.896,28.014,al-farafra-oasis-eg3203,Al Farafra Oasis,مركز الفرافرة,New Valley,الوادى الجديد
Othman ibn Affan,عثمان بن عفان,26.654,31.477,guhayna-al-gharbiyya-eg2611,Guhayna Al-Gharbiyya,مركز جهينة الغربية,Suhag,سوهاج
Agroud,عجرود,30.072,32.281,ataqa-eg0403,Ataqa,قسم عتاقة,Suez,السويس
Adly,عدلي,31.27,32.295,al-munakh-eg0303,Al-Munakh,قسم المناخ,Port Said,بورسعيد
Adnan Madany,عدنان مدنى,30.3,30.49,wadi-al-natrun-eg1814,Wadi Al-NatrUn,مركز وادى النطرون,Behera,البحيرة
Araba Abu Dahab,عرابةأبودهب,26.589,31.591,suhag-eg2603,Suhag,مركز سوهاج,Suhag,سوهاج
Araba Abydos,عرابةأبيدوس,26.193,31.925,al-balyana-eg2605,Al-Balyana,مركز البلينا,Suhag,سوهاج
Araby,عرابى,30.056,31.244,al-azbakiyya-eg0113,Al Azbakiyya,قسم الأزبكية,Cairo,القاهرة
Aramiya al-Khudairi,عرامية الخضيري,27.48,30.754,dayrut-eg2510,Dayrut,مركز ديروط,Assiut,أسيوط
Aramiya al-Diwan,عرامية الديوان,27.442,30.737,al-qusia-eg2509,Al-Qusia,مركز القوصية,Assiut,أسيوط
Arab al-Atawla,عرب الأطاولة,26.552,31.714,akhmim-eg2604,Akhmim,مركز أخميم,Suhag,سوهاج
Arab al-Gahma,عرب الجهمة,27.4,30.756,al-qusia-eg2509,Al-Qusia,مركز القوصية,Assiut,أسيوط
Arab al-Hesar al-Bahariya,عرب الحصار البحرية,29.627,31.331,saf-eg2111,Saf,مركز الصف,Giza,الجيزة
Arab al-Rawashda,عرب الرواشدة,30.397,31.237,tukh-eg1408,Tukh,مركز طوخ,Kalyoubia,القليوبية
Arab al-Amayem,عرب العمايم,27.304,30.93,manfalut-eg2512,Manfalut,مركز منفلوط,Assiut,أسيوط
Arab al-Ayayda,عرب العيايدة,30.192,31.351,al-khanka-eg1403,Al Khanka,مركز الخانكة,Kalyoubia,القليوبية
Arab al-Ghidairi,عرب الغديري,30.352,31.271,tukh-eg1408,Tukh,مركز طوخ,Kalyoubia,القليوبية
Araba al-Tawila,عربا الطاولة,27.251,31.205,alfath-eg2513,Alfath,مركز الفتح,Assiut,أسيوط
Arab Abu Tawila,عربأبوطويلة,30.138,31.312,al-matariyya-eg0125,Al Matariyya,قسم المطرية,Cairo,القاهرة
Arab al-Hesar,عرب الحصار,29.605,31.317,saf-eg2111,Saf,مركز الصف,Giza,الجيزة
Arab al-Hosn,عرب الحصن,30.131,31.306,al-matariyya-eg0125,Al Matariyya,قسم المطرية,Cairo,القاهرة
Arab al-Raml,عرب الرمل,30.522,31.143,quwisna-eg1708,Quwisna,مركز قويسنا,Menoufia,المنوفية
Arab al-Sha'ara,عرب الشعارة,30.189,31.278,shibin-al-qanatir-eg1405,Shibin al-Qanatir,مركز شبين القناطر,Kalyoubia,القليوبية
Arab al-Shanabla,عرب الشنابلة,27.308,31.03,abnub-eg2504,Abnub,مركز أبنوب,Assiut,أسيوط
Arab al-Sawalha,عرب الص والحة,30.304,31.344,shibin-al-qanatir-eg1405,Shibin al-Qanatir,مركز شبين القناطر,Kalyoubia,القليوبية
Arab al-Abayda,عرب العبايدة,29.588,31.319,saf-eg2111,Saf,مركز الصف,Giza,الجيزة
Arab al-Atiyat al-Bahariya,عرب العطيات البحرية,27.31,31.071,abnub-eg2504,Abnub,مركز أبنوب,Assiut,أسيوط
Arab al-Olayqat,عرب العليقات,30.283,31.379,al-khanka-eg1403,Al Khanka,مركز الخانكة,Kalyoubia,القليوبية
Arab al-Faddan,عرب الفدان,30.551,31.675,abu-hammad-eg1304,Abu Hammad,مركز أبو حماد,Sharkia,الشرقية
Arab al-Yasar,عرب اليسار,30.023,31.262,al-khalifa-eg0108,Al Khalifa,قسم الخليفة,Cairo,القاهرة
Arab Bakhawag,عرببخواج,26.81,31.501,tahta-eg2614,Tahta,مركز طهطا,Suhag,سوهاج
Arab Matir,عربمطير,27.257,31.225,alfath-eg2513,Alfath,مركز الفتح,Assiut,أسيوط
Araban al-Anbaqiya wal-Manayef wal-Huwaitat,عربان العنبقية والمنايف والحويطات,29.695,32.367,ataqa-eg0403,Ataqa,قسم عتاقة,Suez,السويس
Oroug,عروج,30.997,33.801,el-arish-3-eg3403,El Arish 3,قسم ثالث العريش,North Sinai,شمال سيناء
Aryan,عريان,31.268,30.565,fuwwa-eg1508,Fuwwa,مركز فوه,Kafr El-Shikh,كفر الشيخ
Ezab Abu Mandour,عزبأبومندور,31.238,30.71,disuq-eg1506,Disuq,مركز دسوق,Kafr El-Shikh,كفر الشيخ
Ezab al-Awqaf,عزب الأوقاف,31.107,30.496,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Ezab al-Basarta,عزب البصارطة,31.373,31.806,dumyat-eg1102,Dumyat,مركز دمياط,Damietta,دمياط
Ezab al-Khalig Bahari,عزبالخليج بحري,31.415,30.512,mitubas-eg1510,Mitubas,مركز مطوبس,Kafr El-Shikh,كفر الشيخ
Ezab al-Khalig,عزب الخليج,31.412,30.487,mitubas-eg1510,Mitubas,مركز مطوبس,Kafr El-Shikh,كفر الشيخ
Ezab al-Zawamel,عزب الزوامل,31.231,30.636,disuq-eg1506,Disuq,مركز دسوق,Kafr El-Shikh,كفر الشيخ
Ezab al-Shabasiya,عزب الشباسية,31.17,30.795,disuq-eg1506,Disuq,مركز دسوق,Kafr El-Shikh,كفر الشيخ
Ezab al-Arab,عزب العرب,30.957,31.313,aga-eg1204,Aga,مركز أجا,Dakahlia,الدقهلية
Ezab al-Gharb,عزب الغرب,31.36,30.478,mitubas-eg1510,Mitubas,مركز مطوبس,Kafr El-Shikh,كفر الشيخ
Ezab al-Qasr,عزب القصر,25.899,28.868,a-dakhla-oasis-eg3202,A-Dakhla Oasis,مركز الوحات الداخلة,New Valley,الوادى الجديد
Ezab al-Nahda,عزب النهضة,31.384,31.792,dumyat-eg1102,Dumyat,مركز دمياط,Damietta,دمياط
Ezab al-Waqf Bahari,عزب الوقف بحري,31.42,30.454,mitubas-eg1510,Mitubas,مركز مطوبس,Kafr El-Shikh,كفر الشيخ
Ezab al-Waqf Qibli,عزب الوقفقبلي,31.38,30.434,mitubas-eg1510,Mitubas,مركز مطوبس,Kafr El-Shikh,كفر الشيخ
Ezab Umm al-Rizq,عزبأم الرزق,31.332,31.563,kafr-sad-eg1104,Kafr Sad,مركز كفر سعد,Damietta,دمياط
Ezab Amin Sayed Ahmed,عزب أمين سيد أحمد,31.145,30.394,abu-hummus-eg1804,Abu Hummus,مركز ابوحمص,Behera,البحيرة
Ezab Basantawy,عزببسنتاوي,31.146,30.452,al-mahmudiyya-eg1806,Al-Mahmudiyya,مركز المحمودية,Behera,البحيرة
Ezab Tal Bani Omran,عزبتلبنيعمران,27.689,30.838,markz-dir-mawas-eg2407,Markz Dir Mawas,مركز دير مواس,Menia,المنيا
Ezab Dafshou,عزبدفشو,31.202,30.119,kafr-al-dawwar-eg1812,Kafr Al-Dawwar,مركز كفر الدوار,Behera,البحيرة
Ezab Shubra Damanhour,عزب شبرا دمنهور,31.05,30.438,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Ezab Sherket al-Ittihad,عزبشركة الاتحاد,30.913,30.461,al-dilingat-eg1805,Al-Dilingat,مركز الدلنجات,Behera,البحيرة
Ezab Qabil,عزبقابيل,31.108,30.429,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Ezab Qortasa wa Tamos,عزبقرطساوطاموس,31.007,30.472,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Ezab Naqraha,عزبنقرها,31.045,30.496,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Ezbet al-Baz,عزبة الباز,31.196,31.642,zarqa-eg1107,Zarqa,مركز الزرقا,Damietta,دمياط
Ezbet al-Bousa,عزبة البوصة,26.074,32.308,nag-hammadi-eg2708,Nag Hammadi,مركز نجع حمادى,Qena,قنا
Ezbet al-Gaza'er,عزبة الجزائر,28.355,28.954,bahariya-oasis-eg2114,Bahariya Oasis,قسم الواحاتالبحرية,Giza,الجيزة
Ezbet al-Rakha,عزبة الرخا,25.781,28.868,a-dakhla-oasis-eg3202,A-Dakhla Oasis,مركز الوحات الداخلة,New Valley,الوادى الجديد
Ezbet al-Qasy Matroud wa Tashmal Ezbet Abdallah al-Maqrihy,عزبة القاسى مطرود وتشمل عزبة عبدالله المقريحى,30.856,30.585,al-dilingat-eg1805,Al-Dilingat,مركز الدلنجات,Behera,البحيرة
Ezbet al-Lawzy,عزبة اللوزى,31.339,31.684,kafr-sad-eg1104,Kafr Sad,مركز كفر سعد,Damietta,دمياط
Ezbet al-Nozha,عزبة النزهه,31.208,29.968,sidi-gabir-eg0203,Sidi Gabir,قسم سيدى جابر,Alexandria,الاسكندرية
Ezbet al-Hagana,عزبة الهجانة,30.065,31.397,nasr-city-eg0126,Nasr City,قسم أول مدينة نصر,Cairo,القاهرة
Ezbet Rady,عزبة راضي,30.956,30.543,itay-al-barud-eg1807,Itay Al-Barud,مركز إيتاى البارود,Behera,البحيرة
Ezbet Ain al-Qasir,عزبة عين القصير,28.391,28.756,bahariya-oasis-eg2114,Bahariya Oasis,قسم الواحاتالبحرية,Giza,الجيزة
Ezbet Mawoud,عزبة ماوود,28.541,28.82,bahariya-oasis-eg2114,Bahariya Oasis,قسم الواحاتالبحرية,Giza,الجيزة
Ezbet Saad,عزبة سعد,31.211,29.947,sidi-gabir-eg0203,Sidi Gabir,قسم سيدى جابر,Alexandria,الاسكندرية
Ezbet Ibrahim Agha,عزبةابراهيمأغا,31.027,30.657,shubra-khit-eg1810,Shubra Khit,مركز شبراخيت,Behera,البحيرة
Ezbet al-Abriqgy,عزبة الأبريقجي,31.06,30.557,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Ezbet al-Ashrak,عزبة الأشراك,31.063,30.637,shubra-khit-eg1810,Shubra Khit,مركز شبراخيت,Behera,البحيرة
Ezbet al-Aqbat,عزبة الأقباط,26.911,31.495,al-badari-eg2506,Al- Badari,مركز البدارى,Assiut,أسيوط
Ezbet al-Bakawat,عزبة البكوات,31.085,30.595,al-rahmaniyya-eg1815,Al-Rahmaniyya,مركز الرحمانية,Behera,البحيرة
Ezbet al-Bousa,عزبة البوصة,26.089,32.059,abu-tisht-eg2703,Abu Tisht,مركز أبو طشت,Qena,قنا
Ezbet al-Goukhdar,عزبة الجوخدار,30.974,30.665,shubra-khit-eg1810,Shubra Khit,مركز شبراخيت,Behera,البحيرة
Ezbet al-Khalil Ibrahim,عزبةالخليل ابراهيم,28.444,30.824,markz-bani-mazar-eg2406,Markz Bani Mazar,مركز بنى مزار,Menia,المنيا
Ezbet al-Darwish,عزبة الدرويش,31.075,30.461,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Ezbet al-Sarw,عزبة السرو,30.991,30.51,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Ezbet al-Salanlaki,عزبة السلانلكي,31.008,30.555,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Ezbet al-Shamashargy,عزبة الشماشرجي,30.992,30.633,shubra-khit-eg1810,Shubra Khit,مركز شبراخيت,Behera,البحيرة
Ezbet al-Shantour,عزبة الشنطور,28.978,30.838,sumusta-eg2208,Sumusta,مركز سمسطا,Beni Suef,بنى سويف
Ezbet al-Tarana,عزبة الطرانة,30.441,30.824,sadat-city-eg1711,Sadat City,مركز السادات,Menoufia,المنوفية
Ezbet al-Tawabra,عزبة الطوابرة,31.168,31.962,manzala-eg1207,Manzala,مركز المنزلة,Dakahlia,الدقهلية
Ezbet al-Teiriya,عزبة الطيرية,30.842,30.561,al-dilingat-eg1805,Al-Dilingat,مركز الدلنجات,Behera,البحيرة
Ezbet al-Arab,عزبة العرب,30.049,31.297,madinat-nasr-2-eg0127,Madinat Nasr-2,قسم ثانمدينةنصر,Cairo,القاهرة
Ezbet al-Qawiya,عزبة القاوية,26.86,31.413,tama-eg2613,Tama,مركز طما,Suhag,سوهاج
Ezbet al-Qamadair,عزبة القمادير,28.244,30.614,markz-samalut-eg2408,Markz Samalut,مركز سمالوط,Menia,المنيا
Ezbet al-Kanisa,عزبة الكنيسة,30.965,30.663,shubra-khit-eg1810,Shubra Khit,مركز شبراخيت,Behera,البحيرة
Ezbet al-Magd,عزبة المجد,31.074,30.656,al-rahmaniyya-eg1815,Al-Rahmaniyya,مركز الرحمانية,Behera,البحيرة
Ezbet al-Manshawy al-Lahhah,عزبة المنشاوي اللحاح,30.803,30.486,al-dilingat-eg1805,Al-Dilingat,مركز الدلنجات,Behera,البحيرة
Ezbet al-Nakhl,عزبة النخل,30.137,31.32,marg-eg0136,Marg,قسم المرج,Cairo,القاهرة
Ezbet Badr al-Din,عزبة بدر الدين,31.099,30.395,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Ezbet Badawy,عزبةبدوي,31.225,31.138,biyalu-eg1504,Biyalu,مركز بيلا,Kafr El-Shikh,كفر الشيخ
Ezbet Bastara,عزبةبسطرة,31.093,30.439,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Ezbet Bishara Hanna,عزبةبشارةحنا,31.023,30.645,shubra-khit-eg1810,Shubra Khit,مركز شبراخيت,Behera,البحيرة
Ezbet Telt,عزبةتلت,28.879,30.836,al-fashn-eg2204,Al Fashn,مركز الفشن,Beni Suef,بنى سويف
Ezbet Gabril,عزبةجبريل,29.969,31.264,basatin-eg0135,Basatin,قسم البساتين,Cairo,القاهرة
Ezbet Gergis Nakhla,عزبةجرجسنخلة,31.127,30.591,al-rahmaniyya-eg1815,Al-Rahmaniyya,مركز الرحمانية,Behera,البحيرة
Ezbet Galal,عزبةجل ال,27.724,30.746,markz-mallawi-eg2412,Markz Mallawi,مركز ملوى,Menia,المنيا
Ezbet Hassan Ali Hamza,عزبة حسن علي حمزة,30.743,30.75,kum-hamada-eg1813,Kum Hamada,مركز كوم حمادة,Behera,البحيرة
Ezbet Hassan Qaboudan,عزبةحسنقبودان,31.12,30.624,al-rahmaniyya-eg1815,Al-Rahmaniyya,مركز الرحمانية,Behera,البحيرة
Ezbet Hussein al-Deeb,عزبةحسين الديب,30.966,30.72,shubra-khit-eg1810,Shubra Khit,مركز شبراخيت,Behera,البحيرة
Ezbet Hussein Amr,عزبة حسين عمرو,31.048,30.562,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Ezbet Hawd Fares,عزبة حوض فارس,30.916,30.612,itay-al-barud-eg1807,Itay Al-Barud,مركز إيتاى البارود,Behera,البحيرة
Ezbet Saada,عزبةسعادة,30.992,30.673,shubra-khit-eg1810,Shubra Khit,مركز شبراخيت,Behera,البحيرة
Ezbet Saad Dawoud,عزبة سعد داود,30.819,30.548,al-dilingat-eg1805,Al-Dilingat,مركز الدلنجات,Behera,البحيرة
Ezbet Sakanida,عزبةسكنيدة,31.063,30.473,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Ezbet Selim Toubgian,عزبةسليمطوبجيان,31.001,30.596,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Ezbet Tarabanba,عزبةطرابنبا,31.036,30.543,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Ezbet Talaat,عزبة طلعت,30.818,30.658,itay-al-barud-eg1807,Itay Al-Barud,مركز إيتاى البارود,Behera,البحيرة
Ezbet Toukh,عزبة طوخ,30.833,31.073,santa-eg1604,Santa,مركز السنطة,Gharbia,الغربية
Ezbet Amr,عزبة عمرو,31.308,30.6,mitubas-eg1510,Mitubas,مركز مطوبس,Kafr El-Shikh,كفر الشيخ
Ezbet Fathallah al-Gazzar,عزبةفتح الله الجزار,30.983,30.678,shubra-khit-eg1810,Shubra Khit,مركز شبراخيت,Behera,البحيرة
Ezbet Farnawy,عزبةفرنوي,31.002,30.644,shubra-khit-eg1810,Shubra Khit,مركز شبراخيت,Behera,البحيرة
Ezbet Fahmy,عزبةفهمي,29.97,31.294,basatin-eg0135,Basatin,قسم البساتين,Cairo,القاهرة
Ezbet Qaftan,عزبةقفطان,28.949,30.82,sumusta-eg2208,Sumusta,مركز سمسطا,Beni Suef,بنى سويف
Ezbet Qalmashat,عزبةقلمشاة,29.212,30.854,atsa-eg2304,Atsa,مركز أطسا,Fayoum,الفيوم
Ezbet Kafr al-Saby,عزبةكفر السابي,30.975,30.58,shubra-khit-eg1810,Shubra Khit,مركز شبراخيت,Behera,البحيرة
Ezbet Kafr Ghoneim,عزبة كفر غنيم,31.127,30.619,al-rahmaniyya-eg1815,Al-Rahmaniyya,مركز الرحمانية,Behera,البحيرة
Ezbet Mohamed Awad,عزبة محمد عوض,31.027,30.554,damanhur-eg1802,Damanhur,مركز دمنهور,Behera,البحيرة
Ezbet Mostafa Hamdy,عزبةمصطفيحمدي,27.814,30.728,markz-mallawi-eg2412,Markz Mallawi,مركز ملوى,Menia,المنيا
Ezbet Nafe',عزبةنافع,29.967,31.258,basatin-eg0135,Basatin,قسم البساتين,Cairo,القاهرة
Ezbet Hawara,عزبةهوارة,28.45,30.65,markz-matay-eg2409,Markz Matay,مركز مطاى,Menia,المنيا
Ezbet Yaqoub,عزبةيعقوب,31.016,30.599,shubra-khit-eg1810,Shubra Khit,مركز شبراخيت,Behera,البحيرة
Ezbet Youssef al-Askary,عزبةيوسف العسكري,30.958,30.614,itay-al-barud-eg1807,Itay Al-Barud,مركز إيتاى البارود,Behera,البحيرة
Ezbet Youssef Hamza,عزبة يوسف حمزة,30.807,30.547,al-dilingat-eg1805,Al-Dilingat,مركز الدلنجات,Behera,البحيرة
Ezbet Youssef Kamal,عزبة يوسف كمال,31.032,30.667,shubra-khit-eg1810,Shubra Khit,مركز شبراخيت,Behera,البحيرة
Oshash al-Nakhl,عشش النخل,30.061,31.231,bulaq-eg0112,Bulaq,قسم بولاق,Cairo,القاهرة
Ashma,عشما,30.557,30.912,al-shuhada-eg1705,Al-Shuhada,مركز الشهداء,Menoufia,المنوفية
Attaf,عطاف,31.072,31.163,el-mahalla-el-kobra-eg1607,El Mahalla El Kobra,مركز المحله الكبرى,Gharbia,الغربية
Atf Abu Gendy,عطفأبوجندي,30.906,30.92,qutur-eg1611,Qutur,مركز قطور,Gharbia,الغربية
Atf Afouh,عطفأفوه,29.365,31.206,al-wasta-eg2205,Al Wasta,مركز الواسطى,Beni Suef,بنى سويف
Atf Haidar,عطفحيدر,28.742,30.747,markz-al-idwa-eg2405,Markz Al Idwa,مركز العدوة,Menia,المنيا
Abd al-Hamid Abu Zeid,علدالحميد أبوزيد,30.465,30.758,badr-eg1818,Badr,مركز بدر,Behera,البحيرة
Alqam,علقام,30.548,30.79,kum-hamada-eg1813,Kum Hamada,مركز كوم حمادة,Behera,البحيرة
Alwan,علوان,27.193,31.092,assuit-eg2503,Assuit,مركز أسيوط,Assiut,أسيوط
Ali Pasha al-Rouby,على باشا الروبى,29.426,30.438,yousef-el-sadeq-eg2307,Yousef El sadeq,مركز يوسف الصديق,Fayoum,الفيوم
Ali ibn Abi Talib,على بن ابى طالب,30.599,30.677,badr-eg1818,Badr,مركز بدر,Behera,البحيرة
Ali Mohamed Selima,على محمد سليمة,30.555,30.993,shibin-al-kum-eg1701,Shibin al-Kum,قسم شبين الكوم,Menoufia,المنوفية
Ali Mostafa al-Zawawy,على مصطفى الزواوى,31.138,30.927,kafr-al-shaykh-eg1501,Kafr Al-Shaykh,قسم كفر الشيخ,Kafr El-Shikh,كفر الشيخ
Ali Agha,علي اغا,30.788,31.0,tanta-2-eg1602,Tanta 2,قسم ثان طنطا,Gharbia,الغربية
Ali ibn Abi Talib,عليبنأبيط الب,26.672,31.466,guhayna-al-gharbiyya-eg2611,Guhayna Al-Gharbiyya,مركز جهينة الغربية,Suhag,سوهاج
Alim,عليم,30.55,31.641,abu-hammad-eg1304,Abu Hammad,مركز أبو حماد,Sharkia,الشرقية
Omar ibn al-Khattab,عمر بن الخطاب,30.554,30.667,badr-eg1818,Badr,مركز بدر,Behera,البحيرة
Omar Shahin,عمر شاهين,30.527,30.729,badr-eg1818,Badr,مركز بدر,Behera,البحيرة
Omar Makram,عمر مكرم,30.494,30.707,badr-eg1818,Badr,مركز بدر,Behera,البحيرة
Omar al-Khayam,عمر الخيام,30.05,31.225,zamalik-eg0133,Zamalik,قسم الزمالك,Cairo,القاهرة
Omar ibn al-Khattab,عمر بن الخطاب,26.694,31.44,guhayna-al-gharbiyya-eg2611,Guhayna Al-Gharbiyya,مركز جهينة الغربية,Suhag,سوهاج
Amr ibn al-Aas,عمرو بن العاص,30.534,30.76,badr-eg1818,Badr,مركز بدر,Behera,البحيرة
Amr ibn al-Aas,عمرو بن العاص,25.009,32.764,adfu-eg2803,Adfu,مركز أدفو,Aswan,أسوان
Amrous,عمروس,30.665,30.818,al-shuhada-eg1705,Al-Shuhada,مركز الشهداء,Menoufia,المنوفية
Amrit,عمريط,30.507,31.61,abu-hammad-eg1304,Abu Hammad,مركز أبو حماد,Sharkia,الشرقية
Anak,عنك,29.149,30.63,atsa-eg2304,Atsa,مركز أطسا,Fayoum,الفيوم
Anak,عنك,27.414,30.775,al-qusia-eg2509,Al-Qusia,مركز القوصية,Assiut,أسيوط
Aniba,عنيبة,24.514,33.033,nasr-eg2805,Nasr,مركز نصر,Aswan,أسوان
Anibas,عنيبس,26.731,31.489,guhayna-al-gharbiyya-eg2611,Guhayna Al-Gharbiyya,مركز جهينة الغربية,Suhag,سوهاج
Awaga,عواجة,27.49,30.736,dayrut-eg2510,Dayrut,مركز ديروط,Assiut,أسيوط
Awamer al-Oseirat,عوامر العسيرات,26.42,31.8,al-usayrat-eg2617,Al Usayrat,مركز العسيرات,Suhag,سوهاج
Awad al-Zawawy,عوض الزواوى,31.128,30.933,kafr-al-shaykh-eg1501,Kafr Al-Shaykh,قسم كفر الشيخ,Kafr El-Shikh,كفر الشيخ
Ain al-Ezza,عين العزة,28.132,28.61,bahariya-oasis-eg2114,Bahariya Oasis,قسم الواحاتالبحرية,Giza,الجيزة
Ain Galout,عين جالوت,30.616,30.618,badr-eg1818,Badr,مركز بدر,Behera,البحيرة
Ain Helwan,عين حلوان,29.866,31.317,hilwan-eg0102,Hilwan,قسم حلوان,Cairo,القاهرة
Ain Shams al-Gharbiya,عين شمس الغربية,30.13,31.315,al-matariyya-eg0125,Al Matariyya,قسم المطرية,Cairo,القاهرة
Ain Aish,عين عيش,25.786,29.201,a-dakhla-oasis-eg3202,A-Dakhla Oasis,مركز الوحات الداخلة,New Valley,الوادى الجديد
Ain al-Sira,عين الصيرة,30.018,31.245,misr-al-qadima-eg0106,Misr Al-Qadima,مصرالقديمة,Cairo,القاهرة
Ain Sadr,عين سدر,29.679,32.718,ras-sidr-eg3502,Ras Sidr,قسم رأس سدر,South Sinai,جنوب سيناء
Ain Shams al-Sharqiya,عينشمس الشرقية,30.128,31.326,ain-shams-eg0130,Ain Shams,قسم عينشمس,Cairo,القاهرة
Ain Toubiya,عينطوبية,29.546,34.703,nakhl-eg3407,Nakhl,قسم نخل,North Sinai,شمال سيناء
Ain Ghosein,عينغصين,30.498,32.281,ismailiyya-eg1904,Ismailiyya,مركز الاسماعيلية,Ismailia,الإسماعيلية
Ain Qartaga Abu Wadi Outair,عينقرطاجابواديوتير,29.145,34.461,nuweiba-eg3507,Nuweiba,قسم نويبع,South Sinai,جنوب سيناء
Ghabat El-Bous wa Bir Adeeb,غبة البوص وبير عديب,29.625,32.352,ataqa-eg0403,Ataqa,قسم عتاقة,Suez,السويس
Gharb El-Mawhoub,غرب الموهوب,25.993,28.178,a-dakhla-oasis-eg3202,A-Dakhla Oasis,مركز الوحات الداخلة,New Valley,الوادى الجديد
Gharb Aswan,غرب أسوان,24.106,32.878,aswan-eg2802,Aswan,مركز أسوان,Aswan,أسوان
Ghazal,غز ال,30.885,28.555,daba-eg3304,Daba,مركز الضبعة,Matrouh,مطروح
Ghazala,غز الة,30.884,31.617,sinbillawin-eg1205,Sinbillawin,مركز السنبلاوين,Dakahlia,الدقهلية
Ghazalet Abu Abdoun,غز الةأبوعبدون,30.741,31.848,faqus-eg1312,Faqus,مركز فاقوس,Sharkia,الشرقية
Ghazalet El-Kheis,غز الة الخيس,30.555,31.58,zaqaziq-eg1303,Zaqaziq,مركز الزقازيق,Sharkia,الشرقية
Ghatati,غطاطي,30.005,31.127,al-ahram-eg2106,Al-Ahram,قسم الأهرام,Giza,الجيزة
Ghammazet El-Sughra,غمازة الصغري,29.662,31.318,saf-eg2111,Saf,مركز الصف,Giza,الجيزة
Ghammazet El-Kubra,غمازة الكبري,29.699,31.313,saf-eg2111,Saf,مركز الصف,Giza,الجيزة
Ghamra,غمرة,30.069,31.268,al-zahir-eg0117,Al Zahir,قسم الظاهر,Cairo,القاهرة
Ghamrin,غمرين,30.498,30.908,minuf-eg1709,Minuf,مركز منوف,Menoufia,المنوفية
Ghoneim Shatta,غنيم شطا,31.192,31.765,minya-al-nasr-eg1214,Minya Al-Nasr,مركز منية النصر,Dakahlia,الدقهلية
Ghot El-Na'ga,غوط النعجة,30.983,25.139,salloum-eg3303,Salloum,قسم السلوم,Matrouh,مطروح
Ghot Musa'ed,غوطمساعد,31.615,25.141,salloum-eg3303,Salloum,قسم السلوم,Matrouh,مطروح
Ghiyadet El-Sharqiya,غياضة الشرقية,28.94,31.02,biba-eg2207,Biba,مركز ببا,Beni Suef,بنى سويف
Ghiyadet El-Gharbiya,غياضة الغربية,28.962,31.005,biba-eg2207,Biba,مركز ببا,Beni Suef,بنى سويف
Ghita,غيتة,30.38,31.516,bilbis-eg1308,Bilbis,مركز بلبيس,Sharkia,الشرقية
Ghisan,غيصان,29.403,30.559,yousef-el-sadeq-eg2307,Yousef El sadeq,مركز يوسف الصديق,Fayoum,الفيوم
Gheit El-Bahari,غيط البحاري,29.195,30.994,nasir-eg2209,Nasir,مركز ناصر,Beni Suef,بنى سويف
Gheit El-Edda,غيط العدة,30.046,31.25,abdin-eg0109,Abdin,قسم عابدين,Cairo,القاهرة
